User ID,Company,Phone,Credited To,Funding Program,Conciege,Status,App Data,Date of Scan
1787299,CRUM LOGISTICS LLC,985-750-7858,bossmaker.biz,Signage Financing,,No Selection,,07/16/2024
1787299,CRUM LOGISTICS LLC,985-750-7858,bossmaker.biz,Unsecured Financing,,No Selection,,07/16/2024
1787299,CRUM LOGISTICS LLC,985-750-7858,bossmaker.biz,Business Credit Cards,,No Selection,,07/16/2024
1787177,MESSING MICHAEL,947-256-27”0,bossmaker.biz,401K Self Investment,,No Selection,,07/11/2024
1787177,MESSING MICHAEL,947-256-27”0,bossmaker.biz,Purchase Order Cash,,No Selection,,07/11/2024
1787112,Crum Logistics LLC,8775668115,bossmaker.biz,Unsecured Financing,,No Selection,,07/07/2024
1787112,Crum Logistics LLC,8775668115,bossmaker.biz,Business Credit Cards,,No Selection,,07/07/2024
1787042,DIAMOND INDUSTRIES L.L.C,586-205-0517,bossmaker.biz,Employee Credit,✔,No Selection,,07/01/2024
1786610,8 Deuteronomy 18 Enterprise LLC,313-220-3718,bossmaker.biz,Unsecured Financing,✔,Accepted,06/14/2024,06/05/2024
1786610,8 Deuteronomy 18 Enterprise LLC,313-220-3718,bossmaker.biz,Business Credit Cards,✔,Accepted,06/14/2024,06/05/2024
1786293,DEEP SOUTH DIESEL LLC,601-748-1273,bossmaker.biz,Business Term Loan,✔,Accepted,05/24/2024,05/21/2024
1786293,DEEP SOUTH DIESEL LLC,601-748-1273,bossmaker.biz,Signage Financing,✔,No Selection,,05/21/2024
1786293,DEEP SOUTH DIESEL LLC,601-748-1273,bossmaker.biz,Revenue Based Loan,✔,No Selection,,05/21/2024
1786293,DEEP SOUTH DIESEL LLC,601-748-1273,bossmaker.biz,Truck/Utility Vehicles,✔,Accepted,05/24/2024,05/21/2024
1786293,DEEP SOUTH DIESEL LLC,601-748-1273,bossmaker.biz,SBA Business Loan,✔,No Selection,,05/21/2024
1786293,DEEP SOUTH DIESEL LLC,601-748-1273,bossmaker.biz,Unsecured Financing,✔,Accepted,05/24/2024,05/21/2024
1786293,DEEP SOUTH DIESEL LLC,601-748-1273,bossmaker.biz,Business Credit Cards,✔,Accepted,05/26/2024,05/21/2024
1786293,DEEP SOUTH DIESEL LLC,601-748-1273,bossmaker.biz,Equipment Financing,✔,Accepted,05/24/2024,05/21/2024
1786293,DEEP SOUTH DIESEL LLC,601-748-1273,bossmaker.biz,Receivable Factoring,✔,No Selection,,05/21/2024
1786293,DEEP SOUTH DIESEL LLC,601-748-1273,bossmaker.biz,Credit Union Loans,✔,Accepted,05/24/2024,05/21/2024
1786077,B & B MONUMENTS,215-510-7653,bossmaker.biz,Business Term Loan,✔,No Selection,,05/10/2024
1786077,B & B MONUMENTS,215-510-7653,bossmaker.biz,Signage Financing,✔,No Selection,,05/10/2024
1786077,B & B MONUMENTS,215-510-7653,bossmaker.biz,Revenue Based Loan,✔,No Selection,,05/10/2024
1786077,B & B MONUMENTS,215-510-7653,bossmaker.biz,Truck/Utility Vehicles,✔,No Selection,,05/10/2024
1786077,B & B MONUMENTS,215-510-7653,bossmaker.biz,Unsecured Financing,✔,No Selection,,05/10/2024
1786077,B & B MONUMENTS,215-510-7653,bossmaker.biz,Business Credit Cards,✔,No Selection,,05/10/2024
1786077,B & B MONUMENTS,215-510-7653,bossmaker.biz,Purchase Order Cash,✔,No Selection,,05/10/2024
1786077,B & B MONUMENTS,215-510-7653,bossmaker.biz,Merchant Advance,✔,No Selection,,05/10/2024
1786077,B & B MONUMENTS,215-510-7653,bossmaker.biz,Credit Union Loans,✔,No Selection,,05/10/2024
1785875,AFRO-ME TV LLC,470-775-2114,bossmaker.biz,Receivable Factoring,,No Selection,,04/30/2024
1784656,ABC Associates,12013514000,bossmaker.biz,Employee Credit,,No Selection,,03/16/2024
1784653,SIREN & SIREN LLC,313-855-4144,bossmaker.biz,Employee Credit,,No Selection,,03/15/2024
1784653,SIREN & SIREN LLC,313-855-4144,bossmaker.biz,Unsecured Financing,,No Selection,,03/15/2024
1784653,SIREN & SIREN LLC,313-855-4144,bossmaker.biz,Business Credit Cards,,No Selection,,03/15/2024
1784533,THE MONROE HOWARD PLAZA INC,706-741-6021,bossmaker.biz,Employee Credit,,No Selection,,03/14/2024
1783873,Sons of Robin,269-999-2074,bossmaker.biz,Employee Credit,,No Selection,,02/19/2024
1783873,Sons of Robin,269-999-2074,bossmaker.biz,Revenue Based Loan,,No Selection,,02/19/2024
1783056,"NAMARS GLOBAL DISTRIBUTION, LLC",313 612-9119,bossmaker.biz,Unsecured Financing,,No Selection,,01/13/2024
1783056,"NAMARS GLOBAL DISTRIBUTION, LLC",313 612-9119,bossmaker.biz,Business Credit Cards,,No Selection,,01/13/2024
1782937,N MY OWN HOME PRIVATE CARE L.L.C,313-686-4583,bossmaker.biz,Employee Credit,,No Selection,,01/10/2024
1782877,Fruit Etc On The Go,313-587-5306,bossmaker.biz,Unsecured Financing,,No Selection,,01/08/2024
1782877,Fruit Etc On The Go,313-587-5306,bossmaker.biz,Business Credit Cards,,No Selection,,01/08/2024
1782876,WeaversofDreams,313-433-3323,bossmaker.biz,Unsecured Financing,,No Selection,,01/08/2024
1782876,WeaversofDreams,313-433-3323,bossmaker.biz,Business Credit Cards,,No Selection,,01/08/2024
1782875,"Indira Kristian, LLC",248-497-7819,bossmaker.biz,Unsecured Financing,,No Selection,,01/08/2024
1782875,"Indira Kristian, LLC",248-497-7819,bossmaker.biz,Business Credit Cards,,No Selection,,01/08/2024
1782872,STAGED SPACES LLC,313-485-6016,bossmaker.biz,Signage Financing,,No Selection,,01/08/2024
1782872,STAGED SPACES LLC,313-485-6016,bossmaker.biz,Unsecured Financing,,No Selection,,01/08/2024
1782872,STAGED SPACES LLC,313-485-6016,bossmaker.biz,Business Credit Cards,,No Selection,,01/08/2024
1782681,FOREVER RICH ENTERPRISES LLC,313-729-7776,bossmaker.biz,Revenue Based Loan,✔,No Selection,,01/01/2024
1782681,FOREVER RICH ENTERPRISES LLC,313-729-7776,bossmaker.biz,Truck/Utility Vehicles,✔,Accepted,01/01/2024,01/01/2024
1782681,FOREVER RICH ENTERPRISES LLC,313-729-7776,bossmaker.biz,Equipment Financing,✔,No Selection,,01/01/2024
1782668,COMMUNITY UP PROJECT-CUP,313-207-4527,bossmaker.biz,Employee Credit,,No Selection,,01/01/2024
1782323,La Alteña,313-923-4982,bossmaker.biz,Business Term Loan,,No Selection,,12/14/2023
1782323,La Alteña,313-923-4982,bossmaker.biz,Unsecured Financing,,No Selection,,12/14/2023
1782323,La Alteña,313-923-4982,bossmaker.biz,Business Credit Cards,,No Selection,,12/14/2023
1782304,AG2G LLC,313-367-7429,bossmaker.biz,Business Term Loan,,No Selection,,12/13/2023
1782304,AG2G LLC,313-367-7429,bossmaker.biz,Unsecured Financing,,No Selection,,12/13/2023
1782304,AG2G LLC,313-367-7429,bossmaker.biz,Business Credit Cards,,No Selection,,12/13/2023
1782233,TL,404-576-9573,bossmaker.biz,Revenue Based Loan,,No Selection,,12/11/2023
